Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
297,2017-01-13 09:00:00,0.000000,0.000000,0.000000,0.000000
298,2017-01-13 10:00:00,0.000000,0.000000,0.000000,0.000000
299,2017-01-13 11:00:00,0.000000,0.000000,0.000000,0.000000
300,2017-01-13 12:00:00,0.000000,0.000000,0.000000,0.000000
301,2017-01-13 13:00:00,0.000000,0.000000,0.000000,0.000000
302,2017-01-13 14:00:00,0.000000,0.000000,0.000000,0.000000
303,2017-01-13 15:00:00,0.000000,0.000000,0.000000,0.000000
304,2017-01-13 16:00:00,0.000000,0.000000,0.000000,0.000000
305,2017-01-13 17:00:00,0.000000,0.000000,0.000000,0.000000
306,2017-01-13 18:00:00,0.000000,0.000000,0.000000,0.000000
307,2017-01-13 19:00:00,0.000000,0.000000,0.000000,0.000000
308,2017-01-13 20:00:00,0.000000,0.000000,0.000000,0.000000
309,2017-01-13 21:00:00,0.000000,0.000000,0.000000,0.000000
310,2017-01-13 22:00:00,0.000000,0.000000,0.000000,0.000000
311,2017-01-13 23:00:00,0.000000,0.000000,0.000000,0.000000
312,2017-01-14 00:00:00,0.000000,0.000000,0.000000,0.000000
313,2017-01-14 01:00:00,0.000000,0.000000,0.000000,0.000000
314,2017-01-14 02:00:00,0.000000,0.000000,0.000000,0.000000
315,2017-01-14 03:00:00,0.000000,0.000000,0.000000,0.000000
316,2017-01-14 04:00:00,0.000000,0.000000,0.000000,0.000000
317,2017-01-14 05:00:00,0.000000,0.000000,0.000000,0.000000
318,2017-01-14 06:00:00,0.000000,0.000000,0.000000,0.000000
319,2017-01-14 07:00:00,0.000000,0.000000,0.000000,0.000000
320,2017-01-14 08:00:00,0.000000,0.000000,0.000000,0.000000
321,2017-01-14 09:00:00,0.000000,0.000000,0.000000,0.000000
322,2017-01-14 10:00:00,0.000000,0.000000,0.000000,0.000000
323,2017-01-14 11:00:00,0.000000,0.000000,0.000000,0.000000
324,2017-01-14 12:00:00,0.000000,0.000000,0.000000,0.000000
325,2017-01-14 13:00:00,0.000000,0.000000,0.000000,0.000000
326,2017-01-14 14:00:00,0.000000,0.000000,0.000000,0.000000
327,2017-01-14 15:00:00,0.000000,0.000000,0.000000,0.000000
328,2017-01-14 16:00:00,0.000000,0.000000,0.000000,0.000000
329,2017-01-14 17:00:00,0.000000,0.000000,0.000000,0.000000
330,2017-01-14 18:00:00,0.000000,0.000000,0.000000,0.000000
