,time,preci,pet
2016-01-08 19:00:00,2016-01-08 19:00:00,0.0,9.992666666666666e-05
2016-01-08 20:00:00,2016-01-08 20:00:00,0.0,9.992666666666666e-05
2016-01-08 21:00:00,2016-01-08 21:00:00,0.0,9.992666666666666e-05
2016-01-08 22:00:00,2016-01-08 22:00:00,0.0,7.938e-05
2016-01-08 23:00:00,2016-01-08 23:00:00,0.0,7.938e-05
2016-01-09 00:00:00,2016-01-09 00:00:00,0.0,7.938e-05
2016-01-09 01:00:00,2016-01-09 01:00:00,0.0,2.25e-05
2016-01-09 02:00:00,2016-01-09 02:00:00,0.0,2.25e-05
2016-01-09 03:00:00,2016-01-09 03:00:00,0.0,2.25e-05
2016-01-09 04:00:00,2016-01-09 04:00:00,0.0,1.7113333333333334e-05
2016-01-09 05:00:00,2016-01-09 05:00:00,0.0,1.7113333333333334e-05
2016-01-09 06:00:00,2016-01-09 06:00:00,0.0,1.7113333333333334e-05
2016-01-09 07:00:00,2016-01-09 07:00:00,0.0,1.2953333333333334e-05
2016-01-09 08:00:00,2016-01-09 08:00:00,0.0,1.2953333333333334e-05
2016-01-09 09:00:00,2016-01-09 09:00:00,0.0,1.2953333333333334e-05
2016-01-09 10:00:00,2016-01-09 10:00:00,2.9333333333333337e-07,1.296e-05
2016-01-09 11:00:00,2016-01-09 11:00:00,8.933333333333334e-07,1.296e-05
2016-01-09 12:00:00,2016-01-09 12:00:00,8.533333333333332e-07,1.296e-05
2016-01-09 13:00:00,2016-01-09 13:00:00,3.755999999999999e-05,3.317333333333333e-05
2016-01-09 14:00:00,2016-01-09 14:00:00,0.0,3.317333333333333e-05
2016-01-09 15:00:00,2016-01-09 15:00:00,0.0,3.317333333333333e-05
2016-01-09 16:00:00,2016-01-09 16:00:00,0.00013892,4.6446666666666664e-05
2016-01-09 17:00:00,2016-01-09 17:00:00,0.00014548,4.6446666666666664e-05
2016-01-09 18:00:00,2016-01-09 18:00:00,0.0002989866666666667,4.6446666666666664e-05
2016-01-09 19:00:00,2016-01-09 19:00:00,0.0002990133333333333,7.306666666666668e-05
2016-01-09 20:00:00,2016-01-09 20:00:00,0.0006039200000000001,7.306666666666668e-05
2016-01-09 21:00:00,2016-01-09 21:00:00,0.00027072000000000006,7.306666666666668e-05
2016-01-09 22:00:00,2016-01-09 22:00:00,0.0002776533333333333,4.9980000000000006e-05
2016-01-09 23:00:00,2016-01-09 23:00:00,0.0,4.9980000000000006e-05
2016-01-10 00:00:00,2016-01-10 00:00:00,0.0,4.9980000000000006e-05
2016-01-10 01:00:00,2016-01-10 01:00:00,0.0,9.96e-06
2016-01-10 02:00:00,2016-01-10 02:00:00,0.0,9.96e-06
2016-01-10 03:00:00,2016-01-10 03:00:00,0.0,9.96e-06
2016-01-10 04:00:00,2016-01-10 04:00:00,6.055999999999999e-05,7.686666666666667e-06
2016-01-10 05:00:00,2016-01-10 05:00:00,0.0,7.686666666666667e-06
2016-01-10 06:00:00,2016-01-10 06:00:00,0.0,7.686666666666667e-06
2016-01-10 07:00:00,2016-01-10 07:00:00,0.0,6.746666666666667e-06
2016-01-10 08:00:00,2016-01-10 08:00:00,0.0,6.746666666666667e-06
2016-01-10 09:00:00,2016-01-10 09:00:00,0.0,6.746666666666667e-06
2016-01-10 10:00:00,2016-01-10 10:00:00,0.0,7.2066666666666666e-06
2016-01-10 11:00:00,2016-01-10 11:00:00,0.0,7.2066666666666666e-06
2016-01-10 12:00:00,2016-01-10 12:00:00,0.0,7.2066666666666666e-06
2016-01-10 13:00:00,2016-01-10 13:00:00,0.0,9.506666666666667e-06
2016-01-10 14:00:00,2016-01-10 14:00:00,0.0,9.506666666666667e-06
2016-01-10 15:00:00,2016-01-10 15:00:00,0.0,9.506666666666667e-06
2016-01-10 16:00:00,2016-01-10 16:00:00,0.0,2.8786666666666667e-05
2016-01-10 17:00:00,2016-01-10 17:00:00,0.0,2.8786666666666667e-05
2016-01-10 18:00:00,2016-01-10 18:00:00,0.0,2.8786666666666667e-05
2016-01-10 19:00:00,2016-01-10 19:00:00,0.0,7.192666666666667e-05
2016-01-10 20:00:00,2016-01-10 20:00:00,0.0,7.192666666666667e-05
2016-01-10 21:00:00,2016-01-10 21:00:00,0.0,7.192666666666667e-05
2016-01-10 22:00:00,2016-01-10 22:00:00,5.537333333333333e-05,5.760666666666666e-05
2016-01-10 23:00:00,2016-01-10 23:00:00,0.00021320000000000003,5.760666666666666e-05
2016-01-11 00:00:00,2016-01-11 00:00:00,0.0005195866666666667,5.760666666666666e-05
2016-01-11 01:00:00,2016-01-11 01:00:00,0.00036793333333333335,1.4033333333333335e-05
2016-01-11 02:00:00,2016-01-11 02:00:00,5.293333333333333e-06,1.4033333333333335e-05
2016-01-11 03:00:00,2016-01-11 03:00:00,2.8e-06,1.4033333333333335e-05
2016-01-11 04:00:00,2016-01-11 04:00:00,0.0,4.106666666666667e-06
2016-01-11 05:00:00,2016-01-11 05:00:00,0.0,4.106666666666667e-06
2016-01-11 06:00:00,2016-01-11 06:00:00,0.0,4.106666666666667e-06
2016-01-11 07:00:00,2016-01-11 07:00:00,0.0,8.466666666666667e-07
2016-01-11 08:00:00,2016-01-11 08:00:00,0.0,8.466666666666667e-07
2016-01-11 09:00:00,2016-01-11 09:00:00,7.270666666666669e-05,8.466666666666667e-07
2016-01-11 10:00:00,2016-01-11 10:00:00,0.0,-5e-07
2016-01-11 11:00:00,2016-01-11 11:00:00,0.0,-5e-07
2016-01-11 12:00:00,2016-01-11 12:00:00,0.0,-5e-07
2016-01-11 13:00:00,2016-01-11 13:00:00,0.0,8.366666666666667e-06
2016-01-11 14:00:00,2016-01-11 14:00:00,0.0,8.366666666666667e-06
2016-01-11 15:00:00,2016-01-11 15:00:00,0.0,8.366666666666667e-06
2016-01-11 16:00:00,2016-01-11 16:00:00,0.0,2.1020000000000002e-05
